Date : 2023-10-17 13:57:21
Directory : c:\xampp\htdocs\inmuebles
Total : 2183 files,  723867 codes, 84903 comments, 116801 blanks, all 925571 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| admin\views\plugins\codemirror\mode\ebnf                                                                                        |          1 |        156 |         25 |         15 |        196 |
| admin\views\plugins\codemirror\mode\ecl                                                                                         |          1 |        184 |          3 |         20 |        207 |
| admin\views\plugins\codemirror\mode\eiffel                                                                                      |          1 |        105 |         52 |          4 |        161 |
| admin\views\plugins\codemirror\mode\elm                                                                                         |          1 |        215 |          2 |         27 |        244 |
| admin\views\plugins\codemirror\mode\erlang                                                                                      |          1 |        471 |         63 |         86 |        620 |
| admin\views\plugins\codemirror\mode\factor                                                                                      |          1 |         58 |         23 |          5 |         86 |
| admin\views\plugins\codemirror\mode\fcl                                                                                         |          1 |        143 |          3 |         28 |        174 |
| admin\views\plugins\codemirror\mode\forth                                                                                       |          1 |        155 |         12 |         14 |        181 |
| admin\views\plugins\codemirror\mode\fortran                                                                                     |          1 |        171 |          3 |         15 |        189 |
| admin\views\plugins\codemirror\mode\gas                                                                                         |          1 |        296 |         17 |         41 |        354 |
| admin\views\plugins\codemirror\mode\gfm                                                                                         |          1 |        107 |         15 |          8 |        130 |
| admin\views\plugins\codemirror\mode\gherkin                                                                                     |          1 |        124 |         30 |         25 |        179 |
| admin\views\plugins\codemirror\mode\go                                                                                          |          1 |        166 |          3 |         19 |        188 |
| admin\views\plugins\codemirror\mode\groovy                                                                                      |          1 |        212 |          5 |         17 |        234 |
| admin\views\plugins\codemirror\mode\haml                                                                                        |          1 |        133 |         13 |         16 |        162 |
| admin\views\plugins\codemirror\mode\handlebars                                                                                  |          1 |         52 |          8 |         11 |         71 |
| admin\views\plugins\codemirror\mode\haskell                                                                                     |          1 |        231 |          3 |         35 |        269 |
| admin\views\plugins\codemirror\mode\haskell-literate                                                                            |          1 |         37 |          2 |          5 |         44 |
| admin\views\plugins\codemirror\mode\haxe                                                                                        |          1 |        450 |         13 |         53 |        516 |
| admin\views\plugins\codemirror\mode\htmlembedded                                                                                |          1 |         32 |          2 |          4 |         38 |
| admin\views\plugins\codemirror\mode\htmlmixed                                                                                   |          1 |        134 |          2 |         18 |        154 |
| admin\views\plugins\codemirror\mode\http                                                                                        |          1 |         96 |          2 |         16 |        114 |
| admin\views\plugins\codemirror\mode\idl                                                                                         |          1 |        266 |          8 |         17 |        291 |
| admin\views\plugins\codemirror\mode\javascript                                                                                  |          1 |        893 |         22 |         46 |        961 |
| admin\views\plugins\codemirror\mode\jinja2                                                                                      |          1 |        129 |          8 |         10 |        147 |
| admin\views\plugins\codemirror\mode\jsx                                                                                         |          1 |         65 |         73 |         11 |        149 |
| admin\views\plugins\codemirror\mode\julia                                                                                       |          1 |        313 |         20 |         58 |        391 |
| admin\views\plugins\codemirror\mode\livescript                                                                                  |          1 |        268 |          6 |          7 |        281 |
| admin\views\plugins\codemirror\mode\lua                                                                                         |          1 |        129 |          6 |         26 |        161 |
| admin\views\plugins\codemirror\mode\markdown                                                                                    |          1 |        730 |         46 |        111 |        887 |
| admin\views\plugins\codemirror\mode\mathematica                                                                                 |          1 |        118 |         30 |         29 |        177 |
| admin\views\plugins\codemirror\mode\mbox                                                                                        |          1 |        102 |         11 |         17 |        130 |
| admin\views\plugins\codemirror\mode\mirc                                                                                        |          1 |        186 |          3 |          5 |        194 |
| admin\views\plugins\codemirror\mode\mllike                                                                                      |          1 |        326 |          9 |         25 |        360 |
| admin\views\plugins\codemirror\mode\modelica                                                                                    |          1 |        190 |         14 |         42 |        246 |
| admin\views\plugins\codemirror\mode\mscgen                                                                                      |          1 |        143 |         13 |         20 |        176 |
| admin\views\plugins\codemirror\mode\mumps                                                                                       |          1 |        102 |         21 |         26 |        149 |
| admin\views\plugins\codemirror\mode\nginx                                                                                       |          1 |        150 |          3 |         26 |        179 |
| admin\views\plugins\codemirror\mode\nsis                                                                                        |          1 |         51 |         23 |         22 |         96 |
| admin\views\plugins\codemirror\mode\ntriples                                                                                    |          1 |        139 |         39 |         18 |        196 |
| admin\views\plugins\codemirror\mode\octave                                                                                      |          1 |        104 |          9 |         27 |        140 |
| admin\views\plugins\codemirror\mode\oz                                                                                          |          1 |        191 |         19 |         43 |        253 |
| admin\views\plugins\codemirror\mode\pascal                                                                                      |          1 |        120 |          3 |         14 |        137 |
| admin\views\plugins\codemirror\mode\pegjs                                                                                       |          1 |         92 |         16 |          7 |        115 |
| admin\views\plugins\codemirror\mode\perl                                                                                        |          1 |        799 |         22 |         16 |        837 |
| admin\views\plugins\codemirror\mode\php                                                                                         |          1 |        209 |          9 |         17 |        235 |
| admin\views\plugins\codemirror\mode\pig                                                                                         |          1 |        136 |         24 |         19 |        179 |
| admin\views\plugins\codemirror\mode\powershell                                                                                  |          1 |        343 |          9 |         47 |        399 |
| admin\views\plugins\codemirror\mode\properties                                                                                  |          1 |         62 |          3 |         14 |         79 |
| admin\views\plugins\codemirror\mode\protobuf                                                                                    |          1 |         51 |          8 |         14 |         73 |
| admin\views\plugins\codemirror\mode\pug                                                                                         |          1 |        507 |         20 |         65 |        592 |
| admin\views\plugins\codemirror\mode\puppet                                                                                      |          1 |        155 |         55 |         11 |        221 |
| admin\views\plugins\codemirror\mode\python                                                                                      |          1 |        322 |         26 |         55 |        403 |
| admin\views\plugins\codemirror\mode\q                                                                                           |          1 |        133 |          3 |          4 |        140 |
| admin\views\plugins\codemirror\mode\r                                                                                           |          1 |        170 |          4 |         17 |        191 |
| admin\views\plugins\codemirror\mode\rpm                                                                                         |          1 |         86 |          6 |         18 |        110 |
| admin\views\plugins\codemirror\mode\rst                                                                                         |          1 |        457 |         26 |         75 |        558 |
| admin\views\plugins\codemirror\mode\ruby                                                                                        |          1 |        118 |        176 |         10 |        304 |
| admin\views\plugins\codemirror\mode\rust                                                                                        |          1 |         60 |          7 |          6 |         73 |
| admin\views\plugins\codemirror\mode\sas                                                                                         |          1 |        221 |         52 |         31 |        304 |
| admin\views\plugins\codemirror\mode\sass                                                                                        |          1 |        119 |        314 |         27 |        460 |
| admin\views\plugins\codemirror\mode\scheme                                                                                      |          1 |        230 |         21 |         34 |        285 |
| admin\views\plugins\codemirror\mode\shell                                                                                       |          1 |        147 |          4 |         18 |        169 |
| admin\views\plugins\codemirror\mode\sieve                                                                                       |          1 |        144 |         10 |         40 |        194 |
| admin\views\plugins\codemirror\mode\slim                                                                                        |          1 |        527 |         10 |         39 |        576 |
| admin\views\plugins\codemirror\mode\smalltalk                                                                                   |          1 |        128 |          2 |         39 |        169 |
| admin\views\plugins\codemirror\mode\smarty                                                                                      |          1 |        200 |          7 |         19 |        226 |
| admin\views\plugins\codemirror\mode\solr                                                                                        |          1 |         86 |          2 |         17 |        105 |
| admin\views\plugins\codemirror\mode\soy                                                                                         |          1 |        545 |         71 |         50 |        666 |
| admin\views\plugins\codemirror\mode\sparql                                                                                      |          1 |        171 |          2 |         18 |        191 |
| admin\views\plugins\codemirror\mode\spreadsheet                                                                                 |          1 |         96 |          7 |         10 |        113 |
| admin\views\plugins\codemirror\mode\sql                                                                                         |          1 |        315 |        160 |         29 |        504 |
| admin\views\plugins\codemirror\mode\stex                                                                                        |          1 |        221 |         16 |         28 |        265 |
| admin\views\plugins\codemirror\mode\stylus                                                                                      |          1 |        609 |         98 |         69 |        776 |
| admin\views\plugins\codemirror\mode\swift                                                                                       |          1 |         50 |        166 |          8 |        224 |
| admin\views\plugins\codemirror\mode\tcl                                                                                         |          1 |        133 |          3 |          5 |        141 |
| admin\views\plugins\codemirror\mode\textile                                                                                     |          1 |        400 |          2 |         68 |        470 |
| admin\views\plugins\codemirror\mode\tiddlywiki                                                                                  |          2 |        244 |         35 |         45 |        324 |
| admin\views\plugins\codemirror\mode\tiki                                                                                        |          2 |        296 |          9 |         34 |        339 |
| admin\views\plugins\codemirror\mode\toml                                                                                        |          1 |         79 |          5 |          5 |         89 |
| admin\views\plugins\codemirror\mode\tornado                                                                                     |          1 |         61 |          2 |          6 |         69 |
| admin\views\plugins\codemirror\mode\troff                                                                                       |          1 |         72 |          2 |         11 |         85 |
| admin\views\plugins\codemirror\mode\ttcn                                                                                        |          1 |        249 |          4 |         31 |        284 |
| admin\views\plugins\codemirror\mode\ttcn-cfg                                                                                    |          1 |        197 |          4 |         13 |        214 |
| admin\views\plugins\codemirror\mode\turtle                                                                                      |          1 |        142 |          2 |         19 |        163 |
| admin\views\plugins\codemirror\mode\twig                                                                                        |          1 |        124 |          8 |         10 |        142 |
| admin\views\plugins\codemirror\mode\vb                                                                                          |          1 |        210 |         19 |         47 |        276 |
| admin\views\plugins\codemirror\mode\vbscript                                                                                    |          1 |        255 |         34 |         62 |        351 |
| admin\views\plugins\codemirror\mode\velocity                                                                                    |          1 |        174 |         17 |         12 |        203 |
| admin\views\plugins\codemirror\mode\verilog                                                                                     |          1 |        598 |        126 |         58 |        782 |
| admin\views\plugins\codemirror\mode\vhdl                                                                                        |          1 |        168 |          4 |         18 |        190 |
| admin\views\plugins\codemirror\mode\vue                                                                                         |          1 |         71 |          2 |          5 |         78 |
| admin\views\plugins\codemirror\mode\wast                                                                                        |          1 |        116 |          8 |          9 |        133 |
| admin\views\plugins\codemirror\mode\webidl                                                                                      |          1 |        153 |         16 |         27 |        196 |
| admin\views\plugins\codemirror\mode\xml                                                                                         |          1 |        385 |          5 |         28 |        418 |
| admin\views\plugins\codemirror\mode\xquery                                                                                      |          1 |        331 |         58 |         60 |        449 |
| admin\views\plugins\codemirror\mode\yacas                                                                                       |          1 |        150 |         19 |         36 |        205 |
| admin\views\plugins\codemirror\mode\yaml                                                                                        |          1 |         92 |         16 |         13 |        121 |
| admin\views\plugins\codemirror\mode\yaml-frontmatter                                                                            |          1 |         64 |          3 |          6 |         73 |
| admin\views\plugins\codemirror\mode\z80                                                                                         |          1 |         99 |          2 |         16 |        117 |
| admin\views\plugins\codemirror\theme                                                                                            |         65 |      2,509 |        447 |        543 |      3,499 |
| admin\views\plugins\datatables                                                                                                  |          2 |      6,647 |      6,886 |      2,001 |     15,534 |
| admin\views\plugins\datatables-autofill                                                                                         |          6 |        866 |        309 |        228 |      1,403 |
| admin\views\plugins\datatables-autofill\css                                                                                     |          2 |         87 |          0 |          7 |         94 |
| admin\views\plugins\datatables-autofill\js                                                                                      |          4 |        779 |        309 |        221 |      1,309 |
| admin\views\plugins\datatables-bs4                                                                                              |          4 |        439 |         30 |         41 |        510 |
| admin\views\plugins\datatables-bs4\css                                                                                          |          2 |        298 |          0 |         12 |        310 |
| admin\views\plugins\datatables-bs4\js                                                                                           |          2 |        141 |         30 |         29 |        200 |
| admin\views\plugins\datatables-buttons                                                                                          |         14 |      4,757 |        825 |        938 |      6,520 |
| admin\views\plugins\datatables-buttons\css                                                                                      |          2 |        411 |          0 |         18 |        429 |
| admin\views\plugins\datatables-buttons\js                                                                                       |         12 |      4,346 |        825 |        920 |      6,091 |
| admin\views\plugins\datatables-colreorder                                                                                       |          6 |        864 |        482 |        235 |      1,581 |
| admin\views\plugins\datatables-colreorder\css                                                                                   |          2 |         11 |          0 |          3 |         14 |
| admin\views\plugins\datatables-colreorder\js                                                                                    |          4 |        853 |        482 |        232 |      1,567 |
| admin\views\plugins\datatables-fixedcolumns                                                                                     |          6 |        555 |        115 |         22 |        692 |
| admin\views\plugins\datatables-fixedcolumns\css                                                                                 |          2 |         51 |          0 |         13 |         64 |
| admin\views\plugins\datatables-fixedcolumns\js                                                                                  |          4 |        504 |        115 |          9 |        628 |
| admin\views\plugins\datatables-fixedheader                                                                                      |          6 |        733 |        254 |        161 |      1,148 |
| admin\views\plugins\datatables-fixedheader\css                                                                                  |          2 |         15 |          0 |          4 |         19 |
| admin\views\plugins\datatables-fixedheader\js                                                                                   |          4 |        718 |        254 |        157 |      1,129 |
| admin\views\plugins\datatables-keytable                                                                                         |          6 |        884 |        328 |        242 |      1,454 |
| admin\views\plugins\datatables-keytable\css                                                                                     |          2 |          9 |          0 |          3 |         12 |
| admin\views\plugins\datatables-keytable\js                                                                                      |          4 |        875 |        328 |        239 |      1,442 |
