Date : 2023-10-17 13:57:21
Directory : c:\xampp\htdocs\inmuebles
Total : 2183 files,  723867 codes, 84903 comments, 116801 blanks, all 925571 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\bw.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\by.svg                                                    | XML                |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\bz.svg                                                    | XML                |        145 |          0 |          1 |        146 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ca.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cc.svg                                                    | XML                |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cd.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cf.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cg.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ch.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ci.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ck.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cl.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cm.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cn.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\co.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cp.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cr.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cu.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cv.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cw.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cx.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cy.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\cz.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\de.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\dg.svg                                                    | XML                |        140 |          0 |          1 |        141 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\dj.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\dk.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\dm.svg                                                    | XML                |        152 |          0 |          1 |        153 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\do.svg                                                    | XML                |      6,745 |          0 |          1 |      6,746 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\dz.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ea.svg                                                    | XML                |        547 |          0 |          1 |        548 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ec.svg                                                    | XML                |        138 |          0 |          1 |        139 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ee.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\eg.svg                                                    | XML                |         38 |          0 |          1 |         39 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\eh.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\er.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\es-ca.svg                                                 | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\es-ct.svg                                                 | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\es-ga.svg                                                 | XML                |        189 |          0 |          1 |        190 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\es.svg                                                    | XML                |        547 |          0 |          1 |        548 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\et.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\eu.svg                                                    | XML                |         28 |          0 |          1 |         29 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fi.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fj.svg                                                    | XML                |        125 |          0 |          1 |        126 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fk.svg                                                    | XML                |         93 |          0 |          1 |         94 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fm.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fo.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\fr.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ga.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gb-eng.svg                                                | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gb-nir.svg                                                | XML                |        131 |          0 |          1 |        132 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gb-sct.svg                                                | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gb-wls.svg                                                | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gb.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gd.svg                                                    | XML                |         27 |          0 |          1 |         28 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ge.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gf.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gg.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gh.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gi.svg                                                    | XML                |         32 |          0 |          1 |         33 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gl.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gm.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gn.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gp.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gq.svg                                                    | XML                |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gr.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gs.svg                                                    | XML                |        245 |          0 |          1 |        246 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gt.svg                                                    | XML                |        204 |          0 |          1 |        205 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gu.svg                                                    | XML                |         39 |          0 |          1 |         40 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gw.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\gy.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\hk.svg                                                    | XML                |         30 |          0 |          1 |         31 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\hm.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\hn.svg                                                    | XML                |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\hr.svg                                                    | XML                |         56 |          0 |          1 |         57 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ht.svg                                                    | XML                |        116 |          0 |          1 |        117 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\hu.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ic.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\id.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ie.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\il.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\im.svg                                                    | XML                |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\in.svg                                                    | XML                |         25 |          0 |          1 |         26 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\io.svg                                                    | XML                |        140 |          0 |          1 |        141 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\iq.svg                                                    | XML                |         10 |          0 |          1 |         11 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ir.svg                                                    | XML                |        219 |          0 |          1 |        220 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\is.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\it.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\je.svg                                                    | XML                |         47 |          0 |          1 |         48 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\jm.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\jo.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\jp.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ke.svg                                                    | XML                |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kg.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kh.svg                                                    | XML                |         61 |          0 |          1 |         62 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ki.svg                                                    | XML                |         36 |          0 |          1 |         37 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\km.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kn.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kp.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kr.svg                                                    | XML                |         24 |          0 |          1 |         25 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kw.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ky.svg                                                    | XML                |        225 |          0 |          1 |        226 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\kz.svg                                                    | XML                |         23 |          0 |          1 |         24 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\la.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lb.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lc.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\li.svg                                                    | XML                |         43 |          0 |          1 |         44 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lk.svg                                                    | XML                |         22 |          0 |          1 |         23 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lr.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ls.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lt.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lu.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\lv.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ly.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ma.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mc.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\md.svg                                                    | XML                |         71 |          0 |          1 |         72 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\me.svg                                                    | XML                |        118 |          0 |          1 |        119 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mf.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mg.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mh.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mk.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ml.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mm.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mn.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mo.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mp.svg                                                    | XML                |         86 |          0 |          1 |         87 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mq.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mr.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ms.svg                                                    | XML                |         70 |          0 |          1 |         71 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mt.svg                                                    | XML                |         50 |          0 |          1 |         51 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mu.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mv.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mw.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mx.svg                                                    | XML                |        378 |          0 |          1 |        379 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\my.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\mz.svg                                                    | XML                |         21 |          0 |          1 |         22 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\na.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nc.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ne.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nf.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ng.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ni.svg                                                    | XML                |        129 |          0 |          1 |        130 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nl.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\no.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\np.svg                                                    | XML                |         19 |          0 |          1 |         20 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nr.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nu.svg                                                    | XML                |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\nz.svg                                                    | XML                |         42 |          0 |          1 |         43 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\om.svg                                                    | XML                |        115 |          0 |          1 |        116 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pa.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pe.svg                                                    | XML                |        244 |          0 |          1 |        245 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pf.svg                                                    | XML                |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pg.svg                                                    | XML                |         16 |          0 |          1 |         17 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ph.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pk.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pl.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pm.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pn.svg                                                    | XML                |        100 |          0 |          1 |        101 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pr.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ps.svg                                                    | XML                |         15 |          0 |          1 |         16 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pt.svg                                                    | XML                |         57 |          0 |          1 |         58 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\pw.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\py.svg                                                    | XML                |        156 |          0 |          1 |        157 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\qa.svg                                                    | XML                |          4 |          0 |          1 |          5 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\re.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ro.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\rs.svg                                                    | XML                |        296 |          0 |          1 |        297 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ru.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\rw.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sa.svg                                                    | XML                |         26 |          0 |          1 |         27 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sb.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sc.svg                                                    | XML                |         14 |          0 |          1 |         15 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sd.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\se.svg                                                    | XML                |          5 |          0 |          1 |          6 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sg.svg                                                    | XML                |         13 |          0 |          1 |         14 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sh.svg                                                    | XML                |         81 |          0 |          1 |         82 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\si.svg                                                    | XML                |         18 |          0 |          1 |         19 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sj.svg                                                    | XML                |          7 |          0 |          1 |          8 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sk.svg                                                    | XML                |          9 |          0 |          1 |         10 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sl.svg                                                    | XML                |         12 |          0 |          1 |         13 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sm.svg                                                    | XML                |         89 |          0 |          1 |         90 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sn.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\so.svg                                                    | XML                |         11 |          0 |          1 |         12 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\sr.svg                                                    | XML                |          6 |          0 |          1 |          7 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\ss.svg                                                    | XML                |          8 |          0 |          1 |          9 |
| c:\xampp\htdocs\inmuebles\admin\views\plugins\flag-icon-css\flags\1x1\st.svg                                                    | XML                |         16 |          0 |          1 |         17 |
